销量排名,动画名称,累计销量,放送时间,制作公司
130,刀剑乱舞-花丸-,18929,2017,Ufotable
131,苍蓝钢铁的琶音,18701,2013,SANZIGEN
132,血界战线,18645,2015,BONES
133,路人女主的养成方法,18497,2015,A-1 Pictures
134,分身战士,18377,2001,Sunrise
135,浪客剑心,18241,1996,Studio DEEN
136,舰队collection（舰队收藏）,18031,2015,Diomedéa
137,Infinite Stratos第二季,18020,2013,8-bit
138,苍穹的法芙娜,17941,2004,XEBEC
139,我的妹妹不可能这么可爱第二季,17856,2010,A-1 Pictures
140,灌篮高手,17831,1993,东映动画
141,路人女主角的养成方法第二季,17630,2017,A-1 Pictures
142,战姬绝唱第三季,17552,2015,SATELIGHT
143,心理测量者,17536,2012,Production I.G
144,黑子的篮球第三季,17352,2015,Production I.G
145,战姬绝唱第五季,17223,2019,SATELIGHT
146,LoveLive!虹咲学园学园偶像同好会第二季,17041,2022,Sunrise
147,魔法老师,16979,2005,XEBEC
148,超时空要塞,16922,1982,龙之子Production
149,魔法科高校的劣等生,16859,2014,MADHOUSE
150,钢之炼金术师FA,16722,2009,BONES
151,中二病也要谈恋爱！,16568,2012,京都动画
152,薄樱鬼,16456,2010,Studio DEEN
153,银魂第二季,16142,2011,Sunrise
154,偶像大师SideM,16030,2017,A-1 Pictures
155,城市猎人,15931,1987,Sunrise
156,天空之艾斯嘉科尼,15892,1996,Sunrise
157,夏目友人帐第三季,15833,2011,Studio DEEN
158,斩服少女,15794,2013,TRIGGER
159,城市猎人第二季,15583,1988,Sunrise
160,少女革命,15561,1997,J.C.STAFF
161,死亡笔记,15246,2006,MADHOUSE
162,头文字D,15219,1998,Studio COMET、Studio Gallop
163,南家三姐妹,15186,2007,童梦
164,请问您今天要来点兔子吗第二季,15163,2015,WHITE FOX、KINEMA CITRUS
165,数码宝贝,15100,1999,东映动画
166,偶像大师灰姑娘女孩,14952,2015,A-1 Pictures
167,狼与香辛料,14905,2008,IMAGIN
168,夏目友人帐第四季,14879,2012,Brain's Base
169,战国BASARA第二季,14841,2010,Production I.G
170,迷糊餐厅第二季,14635,2011,A-1 Pictures
171,碧蓝幻想第二季,14598,2019,MAPPA
172,我的青春恋爱物语果然有问题第二季,14541,2015,Feel.
173,烟草,14437,2019,YAOYOROZU
174,DARKER THAN BLACK流星的双子,14300,2009,BONES
175,逮捕令,14251,1996,Studio DEEN
176,城市猎人第三季,14198,1989,Sunrise
177,城市猎人'91,14198,1991,Sunrise
178,战姬绝唱第四季,14164,2017,SATELIGHT
179,排球少年！！第二季,14146,2015,Production I.G
180,鬼灯的冷彻,14133,2014,WIT STUDIO
181,魔力女管家,14125,2001,GAINAX
182,比宇宙更远的地方,14117,2018,MADHOUSE
183,全金属狂潮第三季,13860,2005,京都动画
184,魔法少女奈叶,13842,2004,Seven Arcs
185,真月谭月姬,13829,2003,J.C.STAFF
186,灼眼的夏娜,13801,2005,J.C.STAFF
187,月刊少女野崎君,13769,2014,动画工房
188,JOJO的奇妙冒险第二季,13741,2014,david production
189,机动武斗传G高达,13733,1994,Sunrise
190,鲁邦三世第二季,13717,1984,TMS
191,装甲骑兵VOTOMS,13644,1983,Sunrise
192,为美好的世界献上祝福！,13598,2016,Studio DEEN
193,请问您今天要来点兔子吗,13585,2015,WHITE FOX
194,薄樱鬼 碧血录,13521,2010,Studio DEEN
195,星界的战旗,13489,2000,Sunrise
196,Re:从零开始的异世界生活,13385,2016,WHITE FOX
197,初音岛,13377,2003,ZEXCS
198,四月是你的谎言,13320,2014,A-1 Pictures
199,袖珍女侍小梅,13233,2000,XEBEC
200,黑执事第二季,13198,2010,A-1 Pictures
